timestamp,temperature_C,voltage_V,current_A
2025-07-19 18:14:15.302031,149.0,1.352,0.007
2025-07-19 18:14:22.314685,149.0,3.884,0.019
2025-07-19 18:14:29.340410,149.0,4.771,0.029
2025-07-19 18:14:36.365565,149.0,5.482,0.039
2025-07-19 18:14:43.381514,149.0,6.03,0.049
2025-07-19 18:14:50.404873,149.0,6.516,0.059
2025-07-19 18:14:57.418486,149.0,6.984,0.069
2025-07-19 18:15:04.445672,149.0,7.401,0.079
2025-07-19 18:15:11.468991,149.0,7.777,0.089
2025-07-19 18:15:18.486293,149.0,8.1,0.099
2025-07-19 18:15:25.512185,149.0,8.405,0.109
2025-07-19 18:15:32.533939,149.0,8.558,0.119
2025-07-19 18:15:39.548535,149.0,8.845,0.129
2025-07-19 18:15:46.573787,149.0,9.123,0.139
2025-07-19 18:15:53.601804,149.0,9.391,0.149
2025-07-19 18:16:00.613840,149.0,9.628,0.159
2025-07-19 18:16:07.646536,149.0,9.85,0.169
2025-07-19 18:16:14.666288,149.0,10.048,0.179
2025-07-19 18:16:21.677582,149.0,10.224,0.189
2025-07-19 18:16:28.703249,149.0,10.457,0.199
2025-07-19 18:16:35.722477,149.0,10.605,0.209
2025-07-19 18:16:42.742191,149.0,10.651,0.219
2025-07-19 18:16:49.762283,149.0,10.723,0.229
2025-07-19 18:16:56.792994,156.3,10.755,0.239
2025-07-19 18:17:03.813337,165.7,10.719,0.249
2025-07-19 18:17:10.833146,174.6,10.652,0.259
2025-07-19 18:17:17.853303,183.5,10.618,0.269
2025-07-19 18:17:24.872545,191.8,10.605,0.279
2025-07-19 18:17:31.903073,200.3,10.515,0.289
2025-07-19 18:17:38.922232,208.4,10.474,0.299
2025-07-19 18:17:45.952816,216.7,10.396,0.309
2025-07-19 18:17:52.969277,225.0,10.338,0.319
2025-07-19 18:17:59.991909,232.9,10.305,0.329
2025-07-19 18:18:07.013072,241.2,10.138,0.339
2025-07-19 18:18:14.031767,248.7,10.144,0.349
2025-07-19 18:18:21.048584,256.5,10.113,0.359
2025-07-19 18:18:28.071060,264.6,10.136,0.369
2025-07-19 18:18:35.091900,272.9,10.206,0.379
2025-07-19 18:18:42.122778,282.0,10.281,0.389
2025-07-19 18:18:49.151563,291.5,10.273,0.399
2025-07-19 18:18:56.169917,301.3,10.392,0.409
2025-07-19 18:19:03.188315,311.1,10.8,0.419
2025-07-19 18:19:10.211729,322.8,11.001,0.429
2025-07-19 18:19:17.227861,337.0,11.433,0.439
2025-07-19 18:19:24.251753,352.7,11.161,0.449
2025-07-19 18:19:31.267752,365.0,10.931,0.459
2025-07-19 18:19:38.281425,373.3,10.698,0.469
2025-07-19 18:19:45.312745,380.5,10.476,0.479
2025-07-19 18:19:52.331041,386.8,10.259,0.489
2025-07-19 18:19:59.345489,392.2,10.005,0.499
2025-07-19 18:20:06.360950,396.6,9.812,0.509
2025-07-19 18:20:13.379214,400.1,9.655,0.519
2025-07-19 18:20:20.399504,403.9,9.508,0.529
2025-07-19 18:20:27.425240,407.7,9.374,0.539
2025-07-19 18:20:34.451570,411.7,9.259,0.549
2025-07-19 18:20:41.468763,415.8,9.154,0.559
2025-07-19 18:20:48.490934,419.9,9.092,0.569
2025-07-19 18:20:55.507839,424.6,9.012,0.579
2025-07-19 18:21:02.530171,429.0,8.919,0.589
2025-07-19 18:21:09.550596,433.5,8.851,0.599
2025-07-19 18:21:16.580435,438.1,8.787,0.609
2025-07-19 18:21:23.593249,442.7,8.739,0.619
2025-07-19 18:21:30.610076,447.6,8.673,0.629
2025-07-19 18:21:37.632311,452.3,8.627,0.639
2025-07-19 18:21:44.646951,457.2,8.58,0.649
2025-07-19 18:21:51.669222,462.3,8.54,0.659
2025-07-19 18:21:58.683592,467.3,8.505,0.669
2025-07-19 18:22:05.712808,472.3,8.47,0.679
2025-07-19 18:22:12.729505,477.6,8.444,0.689
2025-07-19 18:22:19.758881,482.9,8.424,0.699
2025-07-19 18:22:26.784655,488.2,8.411,0.709
2025-07-19 18:22:33.804522,493.7,8.405,0.719
2025-07-19 18:22:40.827306,499.3,8.392,0.729
2025-07-19 18:22:47.848553,505.1,8.392,0.739
2025-07-19 18:22:54.878725,511.2,8.406,0.749
2025-07-19 18:23:01.898653,517.1,8.398,0.759
2025-07-19 18:23:08.918104,523.4,8.412,0.769
2025-07-19 18:23:15.937548,529.5,8.413,0.779
2025-07-19 18:23:22.958176,535.8,8.435,0.789
2025-07-19 18:23:29.979325,542.2,8.452,0.799
2025-07-19 18:23:36.997918,548.7,8.475,0.809
2025-07-19 18:23:46.028570,556.3,8.234,0.799
2025-07-19 18:23:53.045252,553.1,8.106,0.789
2025-07-19 18:24:00.067415,549.4,8.087,0.789
2025-07-19 18:24:07.077958,548.8,8.075,0.789
2025-07-19 18:24:14.107352,549.0,8.064,0.789
2025-07-19 18:24:21.123940,549.6,8.055,0.789
2025-07-19 18:24:28.147319,550.3,8.046,0.789
2025-07-19 18:24:35.163528,551.1,8.041,0.789
2025-07-19 18:24:42.185158,552.1,8.033,0.789
2025-07-19 18:24:49.202011,553.1,7.917,0.779
2025-07-19 18:24:56.225981,550.3,7.898,0.779
2025-07-19 18:25:03.251430,549.7,7.887,0.779
2025-07-19 18:25:10.267844,549.7,7.879,0.779
2025-07-19 18:25:17.294384,550.1,7.871,0.779
2025-07-19 18:25:24.315825,550.6,7.864,0.779
2025-07-19 18:25:31.338627,551.2,7.855,0.779
2025-07-19 18:25:38.356331,551.9,7.846,0.779
2025-07-19 18:25:45.370988,552.5,7.832,0.779
2025-07-19 18:25:52.395519,553.1,7.744,0.769
2025-07-19 18:25:59.415047,550.6,7.718,0.769
2025-07-19 18:26:06.444662,549.7,7.704,0.769
2025-07-19 18:26:13.457946,549.4,7.694,0.769
2025-07-19 18:26:20.482890,549.3,7.686,0.769
2025-07-19 18:26:27.500037,549.4,7.679,0.769
2025-07-19 18:26:34.517565,549.7,7.673,0.769
2025-07-19 18:26:41.540557,550.0,7.667,0.769
2025-07-19 18:26:48.564289,550.3,7.661,0.769
2025-07-19 18:26:55.579614,550.6,7.656,0.769
2025-07-19 18:27:02.596404,551.0,7.65,0.769
2025-07-19 18:27:09.625809,551.3,7.645,0.769
2025-07-19 18:27:16.634443,551.7,7.64,0.769
2025-07-19 18:27:23.655245,552.1,7.634,0.769
2025-07-19 18:27:30.691673,552.4,7.629,0.769
2025-07-19 18:27:37.705654,552.7,7.621,0.769
2025-07-19 18:27:44.725349,553.0,7.614,0.769
2025-07-19 18:27:51.745239,553.3,7.629,0.759
2025-07-19 18:27:58.774069,552.9,7.6,0.759
2025-07-19 18:28:05.795119,552.1,7.586,0.759
2025-07-19 18:28:12.811828,551.7,7.575,0.759
